"question","opa","opb","opc","opd","cop"
"Which of the following is not true for myelinated nerve fibers:","Impulse through myelinated fibers is slower than non-myelinated fibers","Membrane currents are generated at nodes of Ranvier","Saltatory conduction of impulses is seen","Local anesthesia is effective only when the nerve is not covered by myelin sheath","0"
"Which of the following is not true about glomerular capillaries')","The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it","Glucose concentration in the capillaries is the same as that in glomerular filtrate","Constriction of afferent aeriole decreases the blood flow to the glomerulas","Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it","0"
"A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is","No test is required now as her age is below 35 years","Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not","Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not","blood screening at this point of time will clear the exact picture","2"
"Axonal transport is:","Antegrade","Retrograde","Antegrade and retrograde","None","2"
"Low insulin to glucagon ratio is seen in all of these except:","Glycogen synthesis","Glycogen breakdown","Gluconeogenesis","Ketogenesis","0"
"Concentration of tropicamide:","0.01","0.02","0.03","0.04","0"
"Which of the following statements is true regarding H I N1 Influenza?","Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B","People on long-term steroids cannot receive Os-eltam ivir","Category B concerns with low risk cases","Category B patients have to undergo immediate testing","0"
"Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.","Sphenopalatine aery","Anterior ethmoidal aery","Greater palatine aery","Septal branch of superior labial aery","1"
"Diagnosis of the following ECG-","Ventricular bigeminy","Electrical alternans","P pulmonale","Left ventricular failure","1"
"A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –","Ebstein's anomaly","Pulmonary atresia","Transposition of great arteries","Tetralogy of fallot","1"
"27. The lateral spread of dental caries is facilitated mostly by the","Enamel spindles","Dentinoenamel junction","Enamel lamellae","Striae of Retzius","1"
"A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:","Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Normal pH, HCO. and PCO, levels may not indicate absence of an acid-base imbalance","A different site should be tried i f modified Allen's test is negative","Radial aery is the preferred site","0"
"Respiratory rhythm generation center is located at:","Dorsal respiratory group","Pre-Botzinger complex","Ventral respiratory neurons","Pneumotaxic center","1"
"Gait apraxia is seen in thromboembolic episode involving:","ACA","MCA","PCA","Posterior choroidal aery","0"
"Heavy forces on periodontal ligament causes:","Hyalinization","Osteoclastic activity around tooth","Osteoblastic activity around tooth","Crest bone resorption","0"
"About N. gonorrhoea, all are true except","Most common cause of urethritis in male","All stains are highly susceptible to penicillin","Wide spread axoregnic stains cause disseminated gonococcal infection","Found exclusively in human beings","1"
"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management?","Assess the patient, give bag and mask ventilation and look for spontaneous breathing","Sta bag and mask ventilation and reintubate","Sedate and reintubate","Make him sit and do physiotherapy","0"
"In a 6-month-old child, thick curd like white patch appears on the buccal mucosa. On rubbing it leaves an erythematous patch. Most likely diagnosis is:","Tuberculosis","Lichen planus","Lupus erythematous","Candidiasis","3"
"Characteristic of venous blood flow of lower limb in duplex Doppler is?","Monophasic","Biphasic","Triphasic","Non phasic","0"
"The source of calcium ions of a calcific bridge in a tooth in which calcium hydroxide pulpotomy has been performed is:","Blood vessel borne","Derided cells","Dentin","From the calcium hydroxide","0"
